"MMSA_NAME","CASES","DEATHS","death_rate","MMSA_Number","BMI_.kg.m2.","underweight","normalweight","overweight","obese","extremeobesity","Gen_Hlth_good","Gen_Hlth_bad","Gen_Hlth_unkn","Insured","Uninsured","Unkn_insurance","HD_yes","HD_no","Unkn_HD","cancer_yes","cancer_no","Unkn_cancer","KD_yes","KD_no","Unkn_KD","Diabetes_yes","Diabetes_no","Unkn_Diabetes","Smoke_yes","Smoke_no","Unkn_Smoke","age_30minus","age_30_40","age_40_50","age_50_60","age_60_70","age_70plus"
"Kansas City, MO-KS",26659,381,1.42916088375408,28140,28.2971642020287,0.0157244804681997,0.300075052009459,0.397700562996701,0.236571808104552,0.0499280964210883,0.849437390725218,0.14909504397794,0.00146756529684182,0.86737170712047,0.126988478960331,0.00563981391919925,0.0384138709299783,0.95563631907606,0.00594980999396214,0.0677623140092816,0.930686958663888,0.00155072732683019,0.0245293400149469,0.973560549439219,0.00191011054583399,0.125063290352881,0.873930110632806,0.00100659901431323,0.786292312706506,0.175185371407659,0.0385223158858358,0.19602361286189,0.188746311827526,0.161335919005493,0.183240034019007,0.147290864118526,0.12336325816756
"Kennewick-Richland, WA",8918,198,2.220228750841,28420,27.7595682056494,0.0205511070160716,0.276943793179587,0.455558564353772,0.225520665273342,0.0214258701772273,0.857428403834518,0.142192389389036,0.000379206776446053,0.828249062579941,0.155622177442606,0.016128759977453,0.0198588843202744,0.976910561567299,0.00323055411242637,0.0442802278394538,0.954054477381377,0.00166529477916938,0.0390496312932414,0.946580391666154,0.0143699770406047,0.104688818210744,0.89452303860181,0.000788143187446073,0.828247647909565,0.129476122011042,0.0422762300793929,0.232832011592412,0.164373449970169,0.17455864916461,0.173987195088194,0.150509906350513,0.103738787834102
"Knoxville, TN",16811,139,0.826839569329606,28940,28.0225974622551,0.0169302495180052,0.309505215074107,0.375317150787015,0.2524767682523,0.0457706163685732,0.77487634732618,0.223732716269555,0.00139093640426546,0.864691203845008,0.131101836685276,0.00420695946971614,0.0553038545025787,0.939249955188665,0.00544619030875616,0.0855739462196113,0.911624678297541,0.00280137548284804,0.0337021409477374,0.964164237697292,0.00213362135497026,0.166446088174487,0.830019765718316,0.00353414610719665,0.738180000007939,0.225303160449935,0.0365168395421258,0.193946308449292,0.157072608400489,0.161800710248888,0.171260603027988,0.170500218038938,0.145419551834406
"Lafayette, LA",19030,442,2.32264844981608,29180,28.2182303700129,0.0155298680837399,0.276757900155011,0.398444830382042,0.265581551118033,0.0436858502611737,0.788374051125378,0.207266716914452,0.00435923196017072,0.830525837551638,0.168102649928876,0.00137151251948658,0.067787930552698,0.920238819977684,0.0119732494696181,0.0582058696241549,0.941794130375845,0,0.0341267979593629,0.960527375642883,0.00534582639775369,0.151341534649626,0.848658465350374,0,0.703830968005734,0.234837467428445,0.0613315645658209,0.24940374807406,0.168962260374788,0.14475637905819,0.195618510466243,0.133804421775159,0.10745468025156
"Lansing-East Lansing, MI",5525,105,1.90045248868778,29620,27.8070430095632,0.0154029928396806,0.333613138608324,0.363284268912736,0.245909972308752,0.0417896273305075,0.842098042085334,0.156551368290244,0.00135058962442151,0.900123731253861,0.0855620207289259,0.0143142480172126,0.0415008251775335,0.954735802155762,0.00376337266670436,0.066864722415694,0.931384038268625,0.00175123931568136,0.0317291671666414,0.965350247247136,0.00292058558622281,0.114422162289619,0.881804880775402,0.00377295693497986,0.78467734893154,0.175198601924347,0.0401240491441128,0.264342986482645,0.157081154629588,0.15561427959618,0.163603559883311,0.14385448210168,0.115503537306595
"Lexington-Fayette, KY",8689,95,1.0933364023478,30460,27.8635492426782,0.0146632794305156,0.332095480354231,0.361363635737423,0.250278552812483,0.0415990516653467,0.8249446522826,0.1750553477174,0,0.870841172860197,0.123521199313879,0.00563762782592334,0.0454829348228331,0.945406099453333,0.00911096572383391,0.0726150791212579,0.9240484592369,0.00333646164184233,0.0304419735682682,0.969118114612339,0.000439911819392991,0.131631541569986,0.864575938416107,0.00379252001390689,0.740076019835683,0.220437916263525,0.0394860639007924,0.244312862126377,0.167118559513416,0.161208129694371,0.188214601768359,0.122930186720859,0.116215660176619
"Lincoln, NE",6729,27,0.401248328131966,30700,27.5717172379419,0.0210789791942136,0.328913152625842,0.39001147091355,0.218852674902539,0.0411437223638562,0.891504099611259,0.108153311677093,0.000342588711648167,0.878102654197788,0.115705097214123,0.00619224858808952,0.0311799149682534,0.962322124615097,0.00649796041664902,0.0612777991838109,0.937396006876736,0.00132619393945273,0.0215645561953423,0.976033079456056,0.00240236434860161,0.0967009214383071,0.902194817703055,0.00110426085863754,0.817601583119974,0.156497167108406,0.0259012497716197,0.268016079418247,0.183124525667431,0.147438700200471,0.160178329041296,0.131829755962797,0.109412609709757
"Little Rock-North Little Rock-Conway, AR",15796,215,1.36110407698151,30780,28.5234601893874,0.0252539442284318,0.276581687725247,0.378609900878699,0.259176915763366,0.0603775514042567,0.783145634025265,0.214443518716282,0.00241084725845291,0.857976601439716,0.135177396463575,0.00684600209670807,0.0535591888091015,0.93695373595305,0.00948707523784797,0.0724252214741036,0.923459333439253,0.00411544508664293,0.0344291286899353,0.962307911332692,0.00326295997737238,0.139553539073479,0.858347689291257,0.00209877163526399,0.745278136791399,0.219703758991702,0.035018104216899,0.209711916578126,0.189920208945592,0.160072751856665,0.168068165403756,0.147802537117802,0.124424420098061
"Logan, UT-ID",2932,6,0.204638472032742,30860,26.9557095962927,0.0208811478427174,0.368255294667963,0.380406579634652,0.19457872348343,0.0358782543712379,0.908534235017911,0.0912572727151137,0.000208492266975269,0.863055712342976,0.134524581902255,0.00241970575476925,0.0204871147060746,0.975745550932796,0.0037673343611296,0.0543573237418041,0.944944236167473,0.000698440090722763,0.0239411196406755,0.974558903552014,0.00149997680731042,0.0731496218145754,0.925617652490548,0.00123272569487649,0.907715404392652,0.0596677403556692,0.0326168552516787,0.353149341117962,0.194818107013082,0.13861883493513,0.126417272842,0.0971451920540811,0.0898512520377447
"Los Angeles-Long Beach-Anaheim, CA",324050,7844,2.42061410276192,31080,26.9683525123052,0.0226861088801023,0.343217037639146,0.423217593058209,0.185405876156672,0.0254733842658716,0.804000588199057,0.19521051441204,0.000788897388903291,0.843501195501965,0.151179081934354,0.00531972256368114,0.0308423107096808,0.964111884831718,0.00504580445860139,0.0535070841852097,0.944590240344939,0.0019026754698509,0.0275564094020506,0.969926659176834,0.00251693142111559,0.155806413800465,0.842243105061695,0.00195048113784017,0.793512282955559,0.102915917150483,0.103571799893958,0.22526256835083,0.18460158353872,0.180844194817267,0.165847754556611,0.134003478767094,0.109440419969479
