"MMSA_NAME","CASES","DEATHS","death_rate","MMSA_Number","BMI_.kg.m2.","underweight","normalweight","overweight","obese","extremeobesity","Gen_Hlth_good","Gen_Hlth_bad","Gen_Hlth_unkn","Insured","Uninsured","Unkn_insurance","BP_High","BP_normal","BP_unkn","Chol_High","Chol_normal","Unkn_chol","HD_yes","HD_no","Unkn_HD","cancer_yes","cancer_no","Unkn_cancer","KD_yes","KD_no","Unkn_KD","Diabetes_yes","Diabetes_no","Unkn_Diabetes","Smoke_yes","Smoke_no","Unkn_Smoke","age_30minus","age_30_40","age_40_50","age_50_60","age_60_70","age_70plus"
"Fort Wayne, IN",6735,222,3.29621380846325,23060,27.5362678174909,0.0289687596498907,0.440270860681236,0.223724722917015,0.243152157103464,0.063883499648394,0.781961304936993,0.216877787416026,0.00116090764698139,0.882529142032673,0.113306984660009,0.004163873307318,0.366290398871853,0.632644670249446,0.00106493087870026,0.274758442000303,0.612988436996612,0.112253121003085,0.0574706465026963,0.938218233246435,0.00431112025086853,0.0644237899487786,0.931309583197772,0.00426662685344934,0.0224395703750687,0.977560429624931,0,0.127614191395484,0.870079671680793,0.00230613692372326,0.749483836025319,0.200508437358576,0.0500077266161042,0.196799709902242,0.177782547341512,0.172933861730694,0.161642374004369,0.160592918510855,0.130248588510328
"Gainesville, FL",9850,81,0.822335025380711,23540,26.8571725675501,0.0690002193069218,0.379486303257579,0.405484868566393,0.0600827012336931,0.0859459076354126,0.88027078201583,0.118047908673063,0.00168130931110749,0.843714098138874,0.152102808666316,0.00418309319480963,0.321818674557924,0.67788715296802,0.00029417247405546,0.26838405952267,0.640544902263205,0.0910710382141246,0.0393447974521809,0.949413393250879,0.0112418092969402,0.0390217233571582,0.960978276642842,0,0.031214624819332,0.967799244276097,0.000986130904571115,0.130527236075442,0.869472763924558,0,0.818211576356567,0.122423438196555,0.0593649854468778,0.390577865157222,0.101941944636111,0.144264916910118,0.128414937572623,0.120073669604901,0.114726666119024
"Grand Forks, ND-MN",2629,17,0.646633701027006,24220,26.4846297997455,0.0269473673798611,0.495379198312509,0.207752814556207,0.230311905741221,0.0396087140102019,0.835173094959504,0.164382753109993,0.00044415193050397,0.934233170929815,0.0588484324708546,0.00691839659933044,0.292795325425742,0.707204674574258,0,0.240234661655656,0.622004530393453,0.137760807950891,0.0581932654265955,0.936907996444826,0.00489873812857837,0.077128741970929,0.919623436086185,0.00324782194288557,0.038587894220305,0.961412105779695,0,0.0950540394043423,0.904945960595658,0,0.829068879372301,0.135436506625927,0.0354946140017719,0.322471725242124,0.149226970075498,0.117590462701766,0.152238068385531,0.138320550931798,0.120152222663283
"Grand Island, NE",2221,53,2.38631247185952,24260,27.4687415354343,0,0.34799489664212,0.389450222292684,0.237044642655728,0.0255102384094682,0.797933579711852,0.202066420288148,0,0.839860952260731,0.157207283569812,0.00293176416945652,0.358481742148899,0.640760592682142,0.000757665168958696,0.254611043588175,0.650189068058044,0.0951998883537812,0.0496175826117167,0.94795665327824,0.0024257641100431,0.0764326018931507,0.923567398106849,0,0.0341561565944275,0.96004256763912,0.00580127576645251,0.13646292903826,0.86353707096174,0,0.807830410742437,0.1547712482953,0.0373983409622624,0.187961937724937,0.18827549510829,0.134889079150562,0.184601163161765,0.149880206854721,0.154392117999725
"Hagerstown-Martinsburg, MD-WV",2908,55,1.89133425034388,25180,27.3066726623998,0.0165166886070894,0.374402619935662,0.378237672777194,0.200086279559841,0.0307567391202132,0.801334076695754,0.195021188469937,0.00364473483430889,0.907546784106534,0.0882527129588271,0.00420050293463914,0.402710997256224,0.59614587363382,0.00114312910995613,0.342427224228543,0.562120737266096,0.0954520385053605,0.0467635528081547,0.949909040058509,0.00332740713333651,0.0837329342675064,0.915791320880918,0.000475744851575785,0.0206745948636305,0.976836601008205,0.00248880412816428,0.166600163096387,0.833399836903613,0,0.761799634232605,0.203220414427185,0.0349799513402108,0.175752440479455,0.183783071758156,0.160976948973229,0.190190288280874,0.154325240103803,0.134972010404483
"Houston-The Woodlands-Sugar Land, TX",197513,3456,1.74975824376117,26420,28.8214883935962,0.0384707764496402,0.252257878320135,0.406522333291356,0.21148665426882,0.0912623576700488,0.782810465163002,0.208694053118401,0.0084954817185972,0.707045358252708,0.289270565535188,0.00368407621210351,0.331013813208978,0.665624210678057,0.00336197611296534,0.311985217413884,0.58509158905061,0.102923193535506,0.0345580555168752,0.951322780173692,0.0141191643094324,0.0485230220396067,0.949760608518978,0.00171636944141531,0.0245366891632172,0.972031157522396,0.00343215331438674,0.129054697239809,0.86355604031974,0.00738926244045059,0.78611275034656,0.13950876113706,0.0743784885163796,0.201594573704043,0.222241118864218,0.182494615596901,0.164396857344517,0.132407426328044,0.0968654081622782
"Huntington-Ashland, WV-KY-OH",3630,66,1.81818181818182,26580,29.0852323276148,0.0224328658949766,0.32855972474098,0.315434021782764,0.199538673227613,0.134034714353667,0.703041567931066,0.294872830636708,0.00208560143222612,0.929449173237752,0.0668927603219305,0.00365806644031776,0.460777244545936,0.538859067576774,0.000363687877289745,0.326346806271691,0.58627697084048,0.0873762228878291,0.0766550807832381,0.908591723184171,0.0147531960325914,0.0894249456774601,0.908518676025838,0.0020563782967023,0.0426351907189022,0.952529653147053,0.0048351561340447,0.164916963438668,0.833282398124134,0.00180063843719782,0.738795428055852,0.236565521589535,0.0246390503546131,0.183462741318345,0.165702275190209,0.157805274246368,0.15914985422642,0.167195465345043,0.166684389673615
"Indianapolis-Carmel-Anderson, IN",38487,1489,3.8688388286954,26900,27.489948750663,0.0378708506859282,0.39237940284106,0.298275283479713,0.19904525960264,0.0724292033906578,0.816520745217443,0.18051603661064,0.00296321817191687,0.900155424170044,0.0972443581056466,0.00260021772430893,0.367928402968407,0.630793009014358,0.00127858801723558,0.285427463722341,0.608537841782375,0.106034694495284,0.0415466859835048,0.954832739554321,0.00362057446217375,0.0683845251229024,0.929985090376952,0.00163038450014596,0.0343842921080456,0.963909974009375,0.00170573388257896,0.138552963078627,0.859736390917259,0.001710646004114,0.763531341560563,0.183463038657436,0.0530056197820012,0.208846574821104,0.18216191819921,0.16590862696735,0.172674859272729,0.151564142166152,0.118843878573454
"Jackson, MS",18326,504,2.7501909854851,27140,29.6263948802085,0.0471046372619914,0.314732402390168,0.275792467172966,0.271975899192474,0.0903945939824015,0.827525815414544,0.168536956671742,0.00393722791371473,0.82032673882838,0.176039090620485,0.00363417055113421,0.408324982177562,0.589941823811561,0.00173319401087714,0.328518977054367,0.568412973112934,0.103068049832699,0.0444631704107796,0.940915163631879,0.0146216659573417,0.0689497543696525,0.930543263191853,0.000506982438494121,0.0400201894076109,0.959979810592389,0,0.156412148252702,0.843587851747298,0,0.813160542775378,0.152622899038883,0.0342165581857394,0.198090895517297,0.204151859712149,0.155165272703748,0.168058212330028,0.14760838205479,0.126925377681989
"Jacksonville, FL",44701,622,1.39146775239928,27260,28.6674572591295,0.0554071945781799,0.352229733105598,0.280866828328087,0.210656395622088,0.100839848366047,0.775104157229394,0.219152318942578,0.0057435238280284,0.882977815570452,0.115470066491637,0.00155211793791151,0.366268447920863,0.628547530346404,0.00518402173273327,0.295116897107338,0.614798025552599,0.0900850773400628,0.0544554780680863,0.941608103568113,0.00393641836380045,0.0735836446762982,0.924082461189246,0.00233389413445582,0.0351006549050621,0.956880226819823,0.00801911827511471,0.156146567980872,0.843829813889961,2.36181291673252e-05,0.767437118763286,0.173185910614146,0.0593769706225677,0.196208731524375,0.197075001542411,0.122036422409563,0.189646264256588,0.166287132903151,0.128746447363912
