"","MMSANAME","BMI_(kg/m2)","%Underweight","%Normal_weight","%Overwieght","%Obese","%Extreme_Obesity","State"
"17","Burlington-South Burlington",26.6833359641625,2.38095238095238,45.9183673469388,30.6122448979592,16.6666666666667,4.42176870748299,"VT"
"18","Cambridge-Newton-Framingham",25.856320799238,2.81329923273657,48.3375959079284,32.4808184143223,13.0434782608696,3.32480818414322,"MA"
"19","Camden",28.4952342172906,2.26244343891403,32.579185520362,35.7466063348416,21.7194570135747,7.69230769230769,"NJ"
"20","Cedar Rapids",28.6035798544756,0.900900900900901,34.2342342342342,32.4324324324324,27.027027027027,5.40540540540541,"IA"
"21","Charleston",29.1613509035215,1.72413793103448,29.3103448275862,37.0689655172414,25.8620689655172,6.03448275862069,"WV"
"22","Charleston-North Charleston",28.2671265008238,1.27659574468085,35.7446808510638,29.3617021276596,28.0851063829787,5.53191489361702,"SC"
"23","Charlotte-Concord-Gastonia",28.5636028441031,1.42857142857143,33.5714285714286,33.9285714285714,22.8571428571429,8.21428571428571,"NC-SC"
"24","Chicago-Naperville-Elgin",27.5503392921229,2.17391304347826,38.804347826087,31.7391304347826,21.5217391304348,5.76086956521739,"IL-IN-WI"
"25","Cincinnati",27.4758961313163,2.8125,38.125,33.75,20.3125,5,"OH-KY-IN"
"26","Claremont-Lebanon",26.9612484644375,0.75187969924812,39.8496240601504,36.4661654135338,19.5488721804511,3.38345864661654,"NH-VT"
"27","Cleveland-Elyria",29.4978164636226,3.24324324324324,28.1081081081081,30.2702702702703,29.7297297297297,8.64864864864865,"OH"
"28","College Station-Bryan",27.5586943546829,1.03092783505155,39.1752577319588,27.8350515463918,28.8659793814433,3.09278350515464,"TX"
"29","Colorado Springs",27.1562564394716,2.46305418719212,40.8866995073892,33.0049261083744,18.2266009852217,5.41871921182266,"CO"
"30","Columbia",30.3979877388223,1.3953488372093,25.5813953488372,32.093023255814,29.3023255813954,11.6279069767442,"SC"
"31","Columbus",28.0219824541211,2.68096514745308,34.8525469168901,34.3163538873995,20.3753351206434,7.77479892761394,"OH"
"32","Corpus Christi",28.2007526085105,3.6697247706422,31.1926605504587,29.3577981651376,31.1926605504587,4.58715596330275,"TX"
"33","Crestview-Fort Walton Beach-Destin",26.8518141917958,2.7027027027027,36.036036036036,44.1441441441441,11.7117117117117,5.40540540540541,"FL"
"34","Dallas-Plano-Irving",28.0379614427803,1.94174757281553,36.8932038834951,34.9514563106796,19.4174757281553,6.79611650485437,"TX"
"35","Dayton",29.4267401363104,0,31.8681318681319,35.1648351648352,21.978021978022,10.989010989011,"OH"
"36","Deltona-Daytona Beach-Ormond Beach",27.3662803684604,4.20168067226891,36.1344537815126,28.5714285714286,26.0504201680672,5.04201680672269,"FL"
"37","Denver-Aurora-Lakewood",26.481124541829,2.66203703703704,43.75,33.1018518518519,16.5509259259259,3.93518518518519,"CO"
"38","Des Moines-West Des Moines",28.1785571941335,2.88065843621399,32.0987654320988,36.6255144032922,21.3991769547325,6.99588477366255,"IA"
"39","Duluth",26.8358241872339,1.88679245283019,37.1069182389937,39.622641509434,18.8679245283019,2.51572327044025,"MN-WI"
"40","El Paso",28.2232463910915,1.86915887850467,30.8411214953271,41.1214953271028,20.5607476635514,5.60747663551402,"TX"
"41","Evansville",28.7439224411898,1.94174757281553,41.747572815534,29.126213592233,14.5631067961165,12.621359223301,"IN-KY"
"42","Fargo",27.8873424387749,1.34529147982063,39.0134529147982,29.5964125560538,23.3183856502242,6.72645739910314,"ND-MN"
"43","Fayetteville-Springdale-Rogers",27.6916237986482,2.35294117647059,40,34.1176470588235,17.6470588235294,5.88235294117647,"AR-MO"
"44","Florence",29.8274437360048,0,32.0388349514563,26.2135922330097,33.9805825242718,7.76699029126214,"SC"
"45","Fort Wayne",28.0095881356503,2.29007633587786,36.6412213740458,28.2442748091603,27.4809160305344,5.34351145038168,"IN"
