"MMSA","BMI_(kg/m2)","underweight","normalweight","overweight","obese","extremeobesity"
17140,27.0817790446615,0.0319878834223286,0.391851556523501,0.341402977988155,0.193879759146272,0.0408778229197431
17200,26.8897582094311,0.00708999320928133,0.42144874764963,0.368640402911113,0.16091649390801,0.0419043623219656
17460,29.5083572038376,0.0298801222340325,0.294021984886282,0.296086882544048,0.285282494140812,0.0947285161948255
17780,27.2229267814816,0.00117775402994006,0.423799079157159,0.293493881764751,0.238796638882834,0.0427326461653161
17820,26.753577590505,0.0441340470655858,0.405929840494591,0.315628784769652,0.189269636824579,0.045037690845592
17900,29.5492640027064,0.0121660375483414,0.28718446184712,0.321234058845398,0.298905241136943,0.0805102006221969
18140,28.073797084365,0.027217724708183,0.347843324866146,0.353556373794269,0.188353470065787,0.083029106565615
18580,27.4248055886002,0.0710057896739627,0.303713525810992,0.286866564953131,0.315517752208103,0.0228963673538108
18880,25.7959085639939,0.0275346525066952,0.403795841460463,0.470462187378779,0.0583545770588267,0.0398527415952367
19124,27.6639519677303,0.023027022908744,0.342898914717274,0.404134786837752,0.17999195051895,0.04994732501728
19380,28.9258758220927,0,0.323628711344889,0.328741618974793,0.254728279507111,0.0929013901732071
19660,26.8455296404484,0.071329467856253,0.276790074689721,0.37421064981404,0.235460125338215,0.0422096823017712
19740,26.3437744215993,0.0228505964205746,0.440412093944538,0.33424309567273,0.170266397111777,0.0322278168503809
19780,28.1029111230521,0.0284688023267175,0.34882672798378,0.350759927895075,0.20374861874875,0.0681959230456764
20260,26.9509486456421,0.0127343960687408,0.311215736833147,0.450752415836851,0.214034387542245,0.0112630637190163
21340,27.7650454029859,0.0255044170815407,0.315406336147779,0.4461931596711,0.160202365569102,0.0526937215304788
21780,28.5583491081654,0.0201077515867848,0.444047487343758,0.28301190810424,0.120263428252142,0.132569424713075
22020,27.4310363437916,0.00956781038328532,0.397402442371666,0.323235975135506,0.219857722824268,0.0499360492852745
22220,27.3383334886124,0.00277310116606186,0.476603763025514,0.285476730459134,0.173307998883091,0.061838406466199
22500,29.3256714952152,0,0.390595084396337,0.208503887297074,0.333123431085807,0.0677775972207825
23060,27.5362678174909,0.0289687596498907,0.440270860681236,0.223724722917015,0.243152157103464,0.063883499648394
23104,27.9860627090996,0.00879522651970943,0.372104326308978,0.347522992974595,0.213367672977807,0.0582097812189105
23540,26.8571725675501,0.0690002193069218,0.379486303257579,0.405484868566393,0.0600827012336931,0.0859459076354126
24220,26.4846297997455,0.0269473673798611,0.495379198312509,0.207752814556207,0.230311905741221,0.0396087140102019
24260,27.4687415354343,0,0.34799489664212,0.389450222292684,0.237044642655728,0.0255102384094682
24340,27.9832555373976,0.0141377069715822,0.410168174804731,0.289399127168998,0.226047253212193,0.0602477378424956
24860,28.1288345020974,0.037691543079759,0.342787589578755,0.297703956652602,0.25747595973516,0.0643409509537239
