"","MMSA_NAME","CASES","DEATHS","death_rate"
"1","Aberdeen",1856,14,0.754310344827586
"2","Abilene",2166,59,2.72391505078486
"3","Ada",442,3,0.678733031674208
"4","Adrian",842,18,2.13776722090261
"5","Akron",6615,319,4.82237339380197
"6","Alamogordo",270,13,4.81481481481481
"7","Albany",4723,275,5.82257040016938
"8","Albany-Lebanon",532,13,2.44360902255639
"9","Albany-Schenectady-Troy",6600,228,3.45454545454545
"10","Albemarle",2014,56,2.78053624627607
"11","Albert Lea",548,4,0.72992700729927
"12","Albertville",3983,45,1.12980165704243
"13","Albuquerque",8643,224,2.59169269929423
"14","Alexander City",1347,88,6.53303637713437
"15","Alexandria",5116,181,3.53792025019547
"16","Alice",1933,53,2.74185204345577
"17","Allentown-Bethlehem-Easton",12125,857,7.0680412371134
"18","Alma",292,15,5.13698630136986
"19","Alpena",145,14,9.6551724137931
"20","Altoona",716,18,2.51396648044693
"21","Altus",793,10,1.26103404791929
"22","Amarillo",8979,102,1.13598396257935
"23","Americus",1039,64,6.15976900866217
"24","Ames",4016,25,0.622509960159363
"25","Amsterdam",235,9,3.82978723404255
"26","Anchorage",624,2,0.320512820512821
"27","Andrews",425,9,2.11764705882353
"28","Angola",400,7,1.75
"29","Ann Arbor",3773,116,3.0744765438643
"30","Anniston-Oxford",3569,44,1.23283833006444
"31","Appleton",6450,35,0.542635658914729
"32","Arcadia",1571,25,1.59134309357097
"33","Ardmore",761,10,1.31406044678055
"34","Arkadelphia",357,4,1.12044817927171
"35","Asheville",5954,178,2.98958683238159
"36","Ashland",261,4,1.53256704980843
"37","Ashtabula",664,48,7.2289156626506
"38","Astoria",221,0,0
"39","Atchison",308,2,0.649350649350649
"40","Athens",2917,51,1.74837161467261
"41","Athens-Clarke County",6884,89,1.29285299244625
"42","Atlanta-Sandy Springs-Alpharetta",147823,2963,2.00442421003497
"43","Atlantic City-Hammonton",4128,256,6.2015503875969
"44","Atmore",1620,24,1.48148148148148
"45","Auburn",723,14,1.93637621023513
"46","Auburn-Opelika",6017,61,1.01379424962606
"47","Augusta-Richmond County",17659,355,2.0103063593635
"48","Augusta-Waterville",215,11,5.11627906976744
"49","Austin",1348,6,0.445103857566766
"50","Austin-Round Rock-Georgetown",47380,693,1.46264246517518
"51","Bainbridge",1165,29,2.48927038626609
"52","Bakersfield",32128,370,1.15164342629482
"53","Baltimore-Columbia-Towson",38922,1232,3.16530496891218
"54","Bangor",254,6,2.36220472440945
"55","Baraboo",1003,4,0.398803589232303
"56","Bardstown",519,4,0.770712909441233
"57","Barnstable Town",2010,174,8.65671641791045
"58","Barre",78,2,2.56410256410256
"59","Bartlesville",1005,40,3.98009950248756
"60","Batavia",330,6,1.81818181818182
"61","Batesville",1387,27,1.94664744051911
"62","Baton Rouge",29817,880,2.95133648589731
